"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,2.00,82000.00,312.00,203.00,0.00,1.00,692.00,246.00,207.00,"Delta Air Lines Inc.","DL","ABE","ATL",6,"614",1,2000,4,10,2,"F",
0.00,1.00,32600.00,163.00,100.00,0.00,0.00,2153.00,313.00,292.00,"North American Airlines","XG","ABE","IFP",6,"614",1,2000,4,10,5,"L",
0.00,1.00,7200.00,19.00,10.00,0.00,0.00,77.00,35.00,13.00,"ExpressJet Airlines Inc.","RU","ABE","MDT",4,"405",1,2000,4,10,1,"F",
0.00,1.00,41000.00,156.00,43.00,395.00,0.00,77.00,43.00,26.00,"Delta Air Lines Inc.","DL","ABE","MDT",6,"614",1,2000,4,10,1,"F",
0.00,2.00,73000.00,298.00,102.00,500.00,0.00,77.00,73.00,38.00,"Delta Air Lines Inc.","DL","ABE","MDT",7,"715",1,2000,4,10,1,"F",
0.00,1.00,31800.00,120.00,32.00,0.00,0.00,77.00,38.00,24.00,"United Air Lines Inc.","UA","ABE","MDT",6,"619",1,2000,4,10,1,"F",
0.00,1.00,25450.00,100.00,1.00,393.00,1022.00,77.00,46.00,27.00,"Northwest Airlines Inc.","NW","ABE","MDT",6,"640",1,2000,4,10,1,"F",
0.00,1.00,26740.00,103.00,75.00,0.00,0.00,55.00,38.00,26.00,"United Air Lines Inc.","UA","ABE","PHL",6,"620",1,2000,4,10,1,"F",
0.00,1.00,30540.00,120.00,114.00,0.00,1200.00,55.00,33.00,21.00,"United Air Lines Inc.","UA","ABE","PHL",6,"698",1,2000,4,10,1,"F",
0.00,1.00,43000.00,215.00,102.00,0.00,0.00,672.00,130.00,113.00,"North American Airlines","XG","ABQ","BUR",6,"622",1,2000,4,10,2,"L",
0.00,1.00,35500.00,149.00,149.00,277.00,103.00,1240.00,165.00,152.00,"Delta Air Lines Inc.","DL","ABQ","CVG",7,"715",1,2000,4,10,3,"F",
0.00,10.00,280416.00,1370.00,853.00,71.00,6345.00,349.00,1170.00,1035.00,"Frontier Airlines Inc.","F9","ABQ","DEN",6,"619",1,2000,4,10,1,"F",
0.00,1.00,49000.00,182.00,167.00,0.00,0.00,349.00,70.00,51.00,"United Air Lines Inc.","UA","ABQ","DEN",6,"622",1,2000,4,10,1,"F",
0.00,10.00,274221.00,1370.00,344.00,0.00,221.00,223.00,432.00,389.00,"Frontier Airlines Inc.","F9","ABQ","ELP",6,"619",1,2000,4,10,1,"F",
0.00,1.00,35500.00,149.00,57.00,0.00,21.00,223.00,52.00,39.00,"Delta Air Lines Inc.","DL","ABQ","ELP",7,"715",1,2000,4,10,1,"F",
0.00,1.00,48250.00,190.00,161.00,0.00,1.00,487.00,84.00,72.00,"America West Airlines Inc.","HP","ABQ","LAS",6,"622",1,2000,4,10,1,"F",
0.00,2.00,68200.00,274.00,7.00,0.00,0.00,787.00,242.00,222.00,"Southwest Airlines Co.","WN","ABQ","RNO",6,"619",1,2000,4,10,2,"F",
0.00,1.00,34100.00,137.00,31.00,0.00,0.00,870.00,130.00,120.00,"Southwest Airlines Co.","WN","ABQ","SJC",6,"619",1,2000,4,10,2,"F",
0.00,1.00,51135.00,183.00,108.00,0.00,400.00,650.00,117.00,94.00,"Delta Air Lines Inc.","DL","ABQ","SNA",6,"622",1,2000,4,10,2,"F",
0.00,1.00,32790.00,134.00,45.00,0.00,0.00,321.00,150.00,138.00,"America West Airlines Inc.","HP","ABQ","TUS",6,"619",1,2000,4,10,1,"F",
0.00,1.00,43000.00,215.00,72.00,0.00,0.00,95.00,43.00,31.00,"North American Airlines","XG","ACT","AUS",6,"622",1,2000,4,10,1,"L",
0.00,1.00,43000.00,215.00,54.00,0.00,0.00,95.00,40.00,25.00,"North American Airlines","XG","ACT","AUS",6,"622",1,2000,4,10,1,"L",
0.00,1.00,43000.00,215.00,79.00,0.00,0.00,95.00,36.00,23.00,"North American Airlines","XG","ACT","AUS",6,"622",1,2000,4,10,1,"L",
0.00,1.00,43000.00,215.00,70.00,0.00,0.00,444.00,87.00,70.00,"North American Airlines","XG","ACY","CMH",6,"622",1,2000,4,10,1,"L",
0.00,1.00,32600.00,163.00,0.00,0.00,0.00,92.00,48.00,25.00,"North American Airlines","XG","ACY","JFK",6,"614",1,2000,4,10,1,"L",
0.00,1.00,35366.00,110.00,22.00,222.00,771.00,1192.00,148.00,138.00,"Reeve Aleutian Airways Inc.","RV","ADK","ANC",7,"711",3,2000,4,10,3,"F",
0.00,27.00,757900.00,1624.00,1083.00,272510.00,1246.00,252.00,1394.00,1113.00,"Alaska Airlines Inc.","AS","ADQ","ANC",6,"621",3,2000,4,10,1,"F",
0.00,1.00,30900.00,0.00,0.00,0.00,0.00,93.00,38.00,30.00,"Ameristar Air Cargo","AMQ","ADS","CNW",6,"621",2,2000,4,10,1,"P",
0.00,1.00,30900.00,0.00,0.00,0.00,0.00,405.00,79.00,68.00,"Ameristar Air Cargo","AMQ","ADS","LRD",6,"621",2,2000,4,10,1,"P",
0.00,1.00,30900.00,0.00,0.00,13840.00,0.00,452.00,87.00,72.00,"Ameristar Air Cargo","AMQ","ADS","MCI",6,"621",2,2000,4,10,1,"P",
0.00,1.00,30900.00,0.00,0.00,11920.00,0.00,931.00,137.00,120.00,"Ameristar Air Cargo","AMQ","ADS","TOL",6,"621",2,2000,4,10,2,"P",
0.00,1.00,39500.00,170.00,46.00,0.00,0.00,1485.00,234.00,202.00,"Sunworld International Airlines","SM","ADW","DEN",7,"715",1,2000,4,10,3,"L",
0.00,1.00,6313.00,30.00,10.00,0.00,0.00,500.00,197.00,175.00,"ExpressJet Airlines LLC","EV","AEX","ATL",4,"461",1,2000,4,10,2,"F",
0.00,1.00,48000.00,173.00,14.00,0.00,0.00,500.00,86.00,72.00,"Planet Airways","PLQ","AEX","ATL",7,"715",1,2000,4,10,2,"L",
0.00,1.00,48000.00,173.00,24.00,0.00,0.00,473.00,80.00,65.00,"Planet Airways","PLQ","AEX","BNA",7,"715",1,2000,4,10,1,"L",
0.00,1.00,43000.00,215.00,119.00,0.00,0.00,860.00,160.00,126.00,"North American Airlines","XG","AEX","COS",6,"622",1,2000,4,10,2,"L",
0.00,1.00,48000.00,173.00,19.00,0.00,0.00,1212.00,175.00,148.00,"Planet Airways","PLQ","AEX","EWR",7,"715",1,2000,4,10,3,"L",
0.00,1.00,34402.00,128.00,65.00,0.00,0.00,834.00,129.00,105.00,"Planet Airways","PLQ","AEX","FLL",7,"710",1,2000,4,10,2,"L",
0.00,1.00,48000.00,173.00,13.00,0.00,0.00,296.00,55.00,46.00,"Planet Airways","PLQ","AEX","FSM",7,"715",1,2000,4,10,1,"L",
0.00,3.00,144000.00,519.00,83.00,0.00,0.00,190.00,185.00,124.00,"Planet Airways","PLQ","AEX","IAH",7,"715",1,2000,4,10,1,"L",
0.00,1.00,43000.00,215.00,0.00,0.00,0.00,1228.00,195.00,170.00,"North American Airlines","XG","AEX","JFK",6,"622",1,2000,4,10,3,"L",
0.00,1.00,34402.00,128.00,119.00,0.00,0.00,491.00,94.00,73.00,"Planet Airways","PLQ","AEX","LRD",7,"710",1,2000,4,10,1,"L",
0.00,4.00,192000.00,692.00,308.00,0.00,0.00,491.00,366.00,300.00,"Planet Airways","PLQ","AEX","LRD",7,"715",1,2000,4,10,1,"L",
0.00,1.00,6313.00,30.00,18.00,0.00,0.00,234.00,85.00,75.00,"ExpressJet Airlines LLC","EV","AEX","MEI",4,"461",1,2000,4,10,1,"F",
0.00,1.00,34402.00,128.00,13.00,0.00,0.00,297.00,78.00,40.00,"Planet Airways","PLQ","AEX","MEM",7,"710",1,2000,4,10,1,"L",
0.00,1.00,34402.00,128.00,13.00,0.00,0.00,936.00,156.00,135.00,"Planet Airways","PLQ","AEX","MSP",7,"710",1,2000,4,10,2,"L",
0.00,2.00,68804.00,256.00,129.00,0.00,0.00,833.00,242.00,204.00,"Planet Airways","PLQ","AEX","OPF",7,"710",1,2000,4,10,2,"L",
0.00,2.00,68804.00,256.00,26.00,0.00,0.00,778.00,267.00,219.00,"Planet Airways","PLQ","AEX","ORD",7,"710",1,2000,4,10,2,"L",
0.00,1.00,43000.00,215.00,0.00,0.00,0.00,826.00,120.00,100.00,"North American Airlines","XG","AEX","POB",6,"622",1,2000,4,10,2,"L",
0.00,1.00,43000.00,215.00,0.00,0.00,0.00,826.00,126.00,104.00,"North American Airlines","XG","AEX","POB",6,"622",1,2000,4,10,2,"L",
0.00,1.00,34402.00,128.00,15.00,0.00,0.00,1241.00,185.00,169.00,"Planet Airways","PLQ","AEX","SWF",7,"710",1,2000,4,10,3,"L",
0.00,3.00,144000.00,519.00,43.00,0.00,0.00,1241.00,539.00,475.00,"Planet Airways","PLQ","AEX","SWF",7,"715",1,2000,4,10,3,"L",
0.00,3.00,103206.00,384.00,43.00,0.00,0.00,858.00,373.00,330.00,"Planet Airways","PLQ","AEX","TOL",7,"710",1,2000,4,10,2,"L",
